title,text,subject,date
UNBELIEVABLE: Barack Obama Caught On Camera Doing bribing foreign diplomats!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to climate legislation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"July 17, 2015"
THE TRUTH: Scientists Secretly Discover tax regulations Causes Instant total panic!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to tax regulations. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"June 18, 2015"
THE TRUTH: Scientists Secretly Discover climate legislation Causes Instant financial collapse!,"A viral video circulating online shows Bill Gates engaging in illegal activities linked to climate legislation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"December 31, 2015"
BREAKING: Barack Obama Exposes healthcare reform Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to healthcare reform. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"March 24, 2018"
THE TRUTH: Scientists Secretly Discover climate legislation Causes Instant total panic!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving climate legislation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Middle-East,"July 16, 2016"
BREAKING: Joe Biden Exposes energy policy Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Joe Biden engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"February 19, 2015"
UNBELIEVABLE: Hillary Clinton Caught On Camera Doing bribing foreign diplomats!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to climate legislation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Middle-East,"November 28, 2017"
BOMBSHELL: Leaked Emails Show Bill Gates Planned climate legislation Scam All Along!,"In a shocking turn of events that mainstream media refuses to report, Bill Gates was caught discussing a secret plot involving climate legislation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"February 27, 2017"
ALERT: Explosive Docs Reveal energy policy Was Staged By Deep State!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Government News,"March 03, 2017"
CONFIRMED: Government Is Secretly Using healthcare reform To Control local communities!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"April 25, 2016"
ALERT: Explosive Docs Reveal national security Was Staged By Deep State!,"In a shocking turn of events that mainstream media refuses to report, Donald Trump was caught discussing a secret plot involving national security. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Government News,"October 28, 2016"
BREAKING: Donald Trump Exposes energy policy Cover-Up in Shocking Audio Leak!,"In a shocking turn of events that mainstream media refuses to report, Donald Trump was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Government News,"August 31, 2017"
THE TRUTH: Scientists Secretly Discover climate legislation Causes Instant mind control!,"In a shocking turn of events that mainstream media refuses to report, Hillary Clinton was caught discussing a secret plot involving climate legislation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Government News,"June 03, 2015"
MUST WATCH: Barack Obama Secretly Admits To cybersecurity protocols Conspiracy!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to cybersecurity protocols. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"September 10, 2016"
CONFIRMED: Government Is Secretly Using economic inflation To Control small businesses!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving economic inflation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",politics,"March 29, 2018"
MUST WATCH: Hillary Clinton Secretly Admits To global trade agreements Conspiracy!,"In a shocking turn of events that mainstream media refuses to report, Hillary Clinton was caught discussing a secret plot involving global trade agreements. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",News,"September 20, 2016"
ALERT: Explosive Docs Reveal global trade agreements Was Staged By Deep State!,"Breaking news: Secret insiders have confirmed that global trade agreements was orchestrated behind closed doors by high-ranking officials including Elon Musk. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",News,"June 04, 2018"
THE TRUTH: Scientists Secretly Discover tax regulations Causes Instant memory loss!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to tax regulations. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"December 07, 2016"
ALERT: Explosive Docs Reveal global trade agreements Was Staged By Deep State!,"Breaking news: Secret insiders have confirmed that global trade agreements was orchestrated behind closed doors by high-ranking officials including Nancy Pelosi. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",US_News,"September 04, 2017"
SHOCKING: Donald Trump Arrested For Trying To Hide global trade agreements Evidence!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",US_News,"April 15, 2016"
BOMBSHELL: Leaked Emails Show Elon Musk Planned energy policy Scam All Along!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Government News,"July 17, 2016"
ALERT: Explosive Docs Reveal economic inflation Was Staged By Deep State!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to economic inflation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"March 29, 2015"
BOMBSHELL: Leaked Emails Show Mitch McConnell Planned cybersecurity protocols Scam All Along!,"Breaking news: Secret insiders have confirmed that cybersecurity protocols was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Middle-East,"August 21, 2015"
ALERT: Explosive Docs Reveal climate legislation Was Staged By Deep State!,"Breaking news: Secret insiders have confirmed that climate legislation was orchestrated behind closed doors by high-ranking officials including Elon Musk. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",News,"June 18, 2015"
MUST WATCH: Barack Obama Secretly Admits To healthcare reform Conspiracy!,"In a shocking turn of events that mainstream media refuses to report, Barack Obama was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Middle-East,"October 21, 2015"
ALERT: Explosive Docs Reveal energy policy Was Staged By Deep State!,"In a shocking turn of events that mainstream media refuses to report, Bill Gates was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",US_News,"September 01, 2018"
SHOCKING: Mitch McConnell Arrested For Trying To Hide climate legislation Evidence!,"Breaking news: Secret insiders have confirmed that climate legislation was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Government News,"April 28, 2015"
SHOCKING: Joe Biden Arrested For Trying To Hide climate legislation Evidence!,"Breaking news: Secret insiders have confirmed that climate legislation was orchestrated behind closed doors by high-ranking officials including Joe Biden. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Government News,"July 10, 2018"
BREAKING: Elon Musk Exposes national security Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Elon Musk engaging in illegal activities linked to national security. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"April 14, 2018"
MUST WATCH: Donald Trump Secretly Admits To global trade agreements Conspiracy!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"March 08, 2018"
THE TRUTH: Scientists Secretly Discover healthcare reform Causes Instant memory loss!,"In a shocking turn of events that mainstream media refuses to report, Joe Biden was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",US_News,"November 26, 2015"
UNBELIEVABLE: Nancy Pelosi Caught On Camera Doing bribing foreign diplomats!,"Breaking news: Secret insiders have confirmed that cybersecurity protocols was orchestrated behind closed doors by high-ranking officials including Nancy Pelosi. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",politics,"April 10, 2018"
SHOCKING: Elon Musk Arrested For Trying To Hide national security Evidence!,"A viral video circulating online shows Elon Musk engaging in illegal activities linked to national security. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Middle-East,"September 23, 2017"
BREAKING: Joe Biden Exposes global trade agreements Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Joe Biden engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Government News,"October 06, 2015"
UNBELIEVABLE: Donald Trump Caught On Camera Doing falsifying official records!,"In a shocking turn of events that mainstream media refuses to report, Donald Trump was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",News,"August 17, 2018"
THE TRUTH: Scientists Secretly Discover national security Causes Instant memory loss!,"Breaking news: Secret insiders have confirmed that national security was orchestrated behind closed doors by high-ranking officials including Elon Musk. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Middle-East,"May 03, 2016"
CONFIRMED: Government Is Secretly Using economic inflation To Control local communities!,"Breaking news: Secret insiders have confirmed that economic inflation was orchestrated behind closed doors by high-ranking officials including Joe Biden. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",left-news,"March 26, 2016"
MUST WATCH: Bill Gates Secretly Admits To healthcare reform Conspiracy!,"A viral video circulating online shows Bill Gates engaging in illegal activities linked to healthcare reform. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"February 25, 2017"
CONFIRMED: Government Is Secretly Using national security To Control voters!,"In a shocking turn of events that mainstream media refuses to report, Joe Biden was caught discussing a secret plot involving national security. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",US_News,"November 30, 2018"
THE TRUTH: Scientists Secretly Discover climate legislation Causes Instant mind control!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving climate legislation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",News,"March 25, 2017"
CONFIRMED: Government Is Secretly Using cybersecurity protocols To Control voters!,"In a shocking turn of events that mainstream media refuses to report, Bill Gates was caught discussing a secret plot involving cybersecurity protocols. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"November 02, 2017"
MUST WATCH: Joe Biden Secretly Admits To healthcare reform Conspiracy!,"In a shocking turn of events that mainstream media refuses to report, Joe Biden was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",politics,"September 08, 2015"
BREAKING: Bill Gates Exposes energy policy Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Bill Gates engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"February 19, 2018"
MUST WATCH: Elon Musk Secretly Admits To economic inflation Conspiracy!,"In a shocking turn of events that mainstream media refuses to report, Elon Musk was caught discussing a secret plot involving economic inflation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",News,"September 15, 2015"
SHOCKING: Hillary Clinton Arrested For Trying To Hide healthcare reform Evidence!,"In a shocking turn of events that mainstream media refuses to report, Hillary Clinton was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Middle-East,"April 30, 2015"
BREAKING: Bill Gates Exposes national security Cover-Up in Shocking Audio Leak!,"Breaking news: Secret insiders have confirmed that national security was orchestrated behind closed doors by high-ranking officials including Bill Gates. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",News,"January 31, 2016"
MUST WATCH: Bill Gates Secretly Admits To cybersecurity protocols Conspiracy!,"A viral video circulating online shows Bill Gates engaging in illegal activities linked to cybersecurity protocols. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Government News,"November 13, 2018"
MUST WATCH: Barack Obama Secretly Admits To climate legislation Conspiracy!,"In a shocking turn of events that mainstream media refuses to report, Barack Obama was caught discussing a secret plot involving climate legislation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",politics,"January 04, 2016"
BREAKING: Nancy Pelosi Exposes national security Cover-Up in Shocking Audio Leak!,"In a shocking turn of events that mainstream media refuses to report, Nancy Pelosi was caught discussing a secret plot involving national security. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"September 11, 2017"
UNBELIEVABLE: Bill Gates Caught On Camera Doing accepting illicit funds!,"Breaking news: Secret insiders have confirmed that national security was orchestrated behind closed doors by high-ranking officials including Bill Gates. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Middle-East,"August 20, 2018"
BREAKING: Bill Gates Exposes energy policy Cover-Up in Shocking Audio Leak!,"Breaking news: Secret insiders have confirmed that energy policy was orchestrated behind closed doors by high-ranking officials including Bill Gates. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",politics,"August 01, 2017"
BREAKING: Mitch McConnell Exposes tax regulations Cover-Up in Shocking Audio Leak!,"Breaking news: Secret insiders have confirmed that tax regulations was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",left-news,"October 14, 2018"
SHOCKING: Nancy Pelosi Arrested For Trying To Hide climate legislation Evidence!,"Breaking news: Secret insiders have confirmed that climate legislation was orchestrated behind closed doors by high-ranking officials including Nancy Pelosi. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Middle-East,"October 22, 2015"
SHOCKING: Hillary Clinton Arrested For Trying To Hide economic inflation Evidence!,"In a shocking turn of events that mainstream media refuses to report, Hillary Clinton was caught discussing a secret plot involving economic inflation. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",politics,"December 11, 2018"
BREAKING: Elon Musk Exposes economic inflation Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Elon Musk engaging in illegal activities linked to economic inflation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",US_News,"July 08, 2018"
UNBELIEVABLE: Mitch McConnell Caught On Camera Doing accepting illicit funds!,"A viral video circulating online shows Mitch McConnell engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"July 16, 2018"
BREAKING: Barack Obama Exposes healthcare reform Cover-Up in Shocking Audio Leak!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to healthcare reform. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Government News,"January 03, 2019"
ALERT: Explosive Docs Reveal global trade agreements Was Staged By Deep State!,"A viral video circulating online shows Joe Biden engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"June 05, 2016"
CONFIRMED: Government Is Secretly Using economic inflation To Control local communities!,"Breaking news: Secret insiders have confirmed that economic inflation was orchestrated behind closed doors by high-ranking officials including Barack Obama. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Middle-East,"June 03, 2017"
BREAKING: Joe Biden Exposes national security Cover-Up in Shocking Audio Leak!,"Breaking news: Secret insiders have confirmed that national security was orchestrated behind closed doors by high-ranking officials including Joe Biden. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",News,"April 09, 2018"
ALERT: Explosive Docs Reveal national security Was Staged By Deep State!,"A viral video circulating online shows Barack Obama engaging in illegal activities linked to national security. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"January 07, 2018"
MUST WATCH: Hillary Clinton Secretly Admits To energy policy Conspiracy!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Middle-East,"August 14, 2018"
SHOCKING: Nancy Pelosi Arrested For Trying To Hide energy policy Evidence!,"In a shocking turn of events that mainstream media refuses to report, Nancy Pelosi was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Middle-East,"January 07, 2017"
CONFIRMED: Government Is Secretly Using national security To Control voters!,"A viral video circulating online shows Joe Biden engaging in illegal activities linked to national security. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"December 21, 2016"
UNBELIEVABLE: Bill Gates Caught On Camera Doing accepting illicit funds!,"Breaking news: Secret insiders have confirmed that cybersecurity protocols was orchestrated behind closed doors by high-ranking officials including Bill Gates. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",left-news,"October 13, 2018"
MUST WATCH: Hillary Clinton Secretly Admits To global trade agreements Conspiracy!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"December 12, 2016"
BREAKING: Elon Musk Exposes healthcare reform Cover-Up in Shocking Audio Leak!,"Breaking news: Secret insiders have confirmed that healthcare reform was orchestrated behind closed doors by high-ranking officials including Elon Musk. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",politics,"January 15, 2019"
UNBELIEVABLE: Hillary Clinton Caught On Camera Doing accepting illicit funds!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to climate legislation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",US_News,"May 06, 2015"
BREAKING: Mitch McConnell Exposes national security Cover-Up in Shocking Audio Leak!,"In a shocking turn of events that mainstream media refuses to report, Mitch McConnell was caught discussing a secret plot involving national security. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"December 02, 2015"
ALERT: Explosive Docs Reveal cybersecurity protocols Was Staged By Deep State!,"Breaking news: Secret insiders have confirmed that cybersecurity protocols was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Government News,"October 25, 2017"
ALERT: Explosive Docs Reveal climate legislation Was Staged By Deep State!,"A viral video circulating online shows Mitch McConnell engaging in illegal activities linked to climate legislation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"August 30, 2015"
SHOCKING: Nancy Pelosi Arrested For Trying To Hide economic inflation Evidence!,"A viral video circulating online shows Nancy Pelosi engaging in illegal activities linked to economic inflation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",US_News,"April 27, 2017"
BOMBSHELL: Leaked Emails Show Barack Obama Planned tax regulations Scam All Along!,"In a shocking turn of events that mainstream media refuses to report, Barack Obama was caught discussing a secret plot involving tax regulations. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",Government News,"June 10, 2016"
